Author	Web of Science citations	Web of Science H­Index
Francisco Collazo	39	3
Muzammil Tahira	33	3
Haydar Yalcin	32	2
Alvaro Roldán López	29	3
Jill Lagerstrom	24	3
Andrea Twiss-Brooks	23	3
Gonzalo Ordonez-Matamoros	22	2
Ruben Urbizagastegui Alvarado	22	3
Stacy Konkiel	22	2
Nick Tomaiuolo	21	2
Valeria Molteni	20	2
Gabriel Peterson	18	3
Maria Cassella	18	2
Pero Šipka	18	2
Christian Gumpenberger	17	2
Mirza Muhammad Naseer	14	2
R Jeyshankar	14	2
Rosario Rogel	13	2
Subir K. Sen	13	2
Yves-François Le Coadic	12	2
Anup Kumar Das	11	1
Ernesto Spinak	11	1
maryam shekofteh	11	2
Peter Sjögårde	11	2
Kamal Lochan Jena	9	1
Sada Bihari Sahu	9	1
Bidyarthi Dutta	7	1
Samir Kumar Jalal	6	2
Filistéa Naudé	5	1
Emma Georgina Santillán Rivero	4	1
Rachel Borchardt	4	1
Chandran Velmurugan	3	1
Franjo Pehar	3	1
Władysław Marek Kolasa	3	1
Yaniris Rodríguez-Sánchez	3	1
Aneta Drabek	2	1
Diego Marcos Cartagena	2	8
Daniel Wadskog	1	1
Magdalena Bemke-Świtilnik	1	1
Rosane Taruhn	1	1
Vaishali Khaparde	1	1
Derek J. de Solla Price	0	0
G. Rathinasabapathy	0	0
John Jeyasekar Jesubright	0	0
Jose Antonio Torres-Reyes	0	0
Jose Morillo-Velarde Serrano	0	0
Marcia Regina da Silva	0	0
Mariano A. Maura	0	0
Sergio Carbonell de la Fé	0	0
Antonio Gutierrez Gracia		
Catharina Rehn		
G. Galyani		
I.K. Ravichandra Rao		
John Irvine		
Shigeaki Yamazaki		
Ying Ding		
